epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.274,1.95886,5.16084,1.65221,0.14733,0.1798,0.1286,0.07885,1.48708,19.175,1.32614,0.00011817,0.00011817,0.00011817
2,125.701,1.82602,3.47393,1.58707,0.38081,0.27921,0.22397,0.11846,1.58706,6.17711,1.24968,0.00024381,0.00024381,0.00024381
3,186.638,1.69399,3.10558,1.4134,0.33801,0.39648,0.41355,0.24122,1.56043,2.65593,1.18256,0.00036777,0.00036777,0.00036777
4,249.917,1.68075,3.03694,1.46027,0.30963,0.56552,0.41387,0.25182,1.49291,2.70572,1.16645,0.000490051,0.000490051,0.000490051
5,311.083,1.59633,2.65741,1.39223,0.4105,0.51275,0.41431,0.27403,1.34111,3.43471,1.10068,0.000610652,0.000610652,0.000610652
6,370.746,1.52916,2.55554,1.36682,0.5279,0.45125,0.48332,0.2884,1.3344,2.28309,1.1002,0.000729572,0.000729572,0.000729572
7,430.447,1.61603,2.48745,1.4187,0.56192,0.48936,0.48483,0.29079,1.37175,2.78513,1.13574,0.000846813,0.000846813,0.000846813
8,492.922,1.5754,2.53663,1.39896,0.68678,0.39789,0.48498,0.29847,1.38952,2.56393,1.15032,0.000867004,0.000867004,0.000867004
9,553.874,1.62924,2.56419,1.42033,0.6888,0.45328,0.50609,0.30218,1.38855,2.23327,1.16253,0.000861005,0.000861005,0.000861005
10,615.474,1.53247,2.32455,1.39845,0.70732,0.40402,0.49716,0.31761,1.3401,2.42144,1.16258,0.000855005,0.000855005,0.000855005
11,676.27,1.63528,2.35647,1.43961,0.82966,0.35452,0.49981,0.30766,1.37772,2.18219,1.1539,0.000849006,0.000849006,0.000849006
12,737.681,1.52265,2.15332,1.41282,0.65411,0.4712,0.52263,0.31584,1.32542,2.18911,1.16741,0.000843007,0.000843007,0.000843007
13,798.001,1.5529,2.18622,1.38678,0.63916,0.49847,0.52976,0.31636,1.31773,1.81498,1.15374,0.000837007,0.000837007,0.000837007
14,858.154,1.50568,2.15415,1.35349,0.6747,0.55285,0.47792,0.29583,1.30891,1.60441,1.11829,0.000831008,0.000831008,0.000831008
15,918.091,1.5402,2.2148,1.39164,0.76725,0.44024,0.53295,0.31515,1.37961,1.70623,1.13503,0.000825008,0.000825008,0.000825008
16,977.599,1.56912,2.14255,1.4222,0.85511,0.43804,0.52094,0.31777,1.39645,1.91926,1.16814,0.000819009,0.000819009,0.000819009
17,1037.34,1.52254,2.03811,1.34,0.56465,0.59291,0.50758,0.30713,1.38078,2.00543,1.22843,0.00081301,0.00081301,0.00081301
18,1095.6,1.44871,1.9281,1.36948,0.63576,0.50324,0.5213,0.31047,1.38424,1.65483,1.195,0.00080701,0.00080701,0.00080701
19,1155.66,1.51915,2.04378,1.36431,0.67087,0.52465,0.54213,0.32083,1.39368,1.61247,1.15271,0.000801011,0.000801011,0.000801011
20,1215.09,1.48739,1.95205,1.28966,0.66592,0.53958,0.53704,0.32514,1.35141,1.5036,1.10568,0.000795011,0.000795011,0.000795011
21,1274.15,1.53426,1.99226,1.37441,0.67902,0.6196,0.58126,0.36522,1.35969,1.54904,1.09538,0.000789012,0.000789012,0.000789012
22,1333.39,1.42404,1.79372,1.26805,0.68192,0.57543,0.57378,0.38114,1.30359,1.60382,1.103,0.000783013,0.000783013,0.000783013
23,1393.89,1.52836,1.9027,1.38054,0.58385,0.57682,0.52832,0.34446,1.27273,1.58944,1.13557,0.000777013,0.000777013,0.000777013
24,1453.5,1.45048,1.8419,1.31569,0.33301,0.57242,0.47385,0.27826,1.42476,1.7841,1.251,0.000771014,0.000771014,0.000771014
25,1514.48,1.50493,1.9856,1.34602,0.73209,0.42625,0.52869,0.30908,1.43956,1.50429,1.21324,0.000765014,0.000765014,0.000765014
26,1576.01,1.439,1.8432,1.34533,0.74624,0.46527,0.53927,0.31229,1.42581,1.55084,1.18714,0.000759015,0.000759015,0.000759015
27,1635.49,1.51447,1.92785,1.34445,0.59118,0.47206,0.53376,0.31387,1.38956,1.48305,1.17731,0.000753016,0.000753016,0.000753016
28,1695.58,1.52959,2.02184,1.36684,0.65259,0.43716,0.53042,0.33303,1.29734,1.44656,1.15835,0.000747016,0.000747016,0.000747016
29,1755.25,1.46506,1.93164,1.3538,0.70401,0.44972,0.54621,0.34612,1.2492,1.48874,1.15358,0.000741017,0.000741017,0.000741017
30,1816.21,1.50626,1.96701,1.37317,0.72551,0.49795,0.57684,0.35634,1.40944,1.45769,1.19854,0.000735017,0.000735017,0.000735017
31,1874.87,1.40246,1.77876,1.30358,0.69145,0.62098,0.58591,0.34567,1.49367,1.50211,1.25082,0.000729018,0.000729018,0.000729018
32,1934,1.49514,1.82525,1.33464,0.67191,0.61813,0.60309,0.37289,1.33219,1.43013,1.16913,0.000723019,0.000723019,0.000723019
33,1993.96,1.5054,1.93023,1.37231,0.78754,0.60431,0.61617,0.39946,1.20222,1.38617,1.09492,0.000717019,0.000717019,0.000717019
34,2053.11,1.50801,1.82726,1.34495,0.7432,0.59866,0.60553,0.39198,1.18244,1.3893,1.06148,0.00071102,0.00071102,0.00071102
35,2115.12,1.40491,1.77605,1.35323,0.74982,0.63861,0.59995,0.36979,1.27558,1.37894,1.0932,0.00070502,0.00070502,0.00070502
36,2176.22,1.47879,1.78372,1.34337,0.76496,0.60865,0.58556,0.35239,1.3541,1.44203,1.14433,0.000699021,0.000699021,0.000699021
37,2236.43,1.50473,1.84711,1.35363,0.61706,0.57839,0.55493,0.34443,1.23224,1.53358,1.10288,0.000693022,0.000693022,0.000693022
38,2298.14,1.45471,1.80105,1.34329,0.70533,0.4996,0.54986,0.36042,1.21664,1.53823,1.11428,0.000687022,0.000687022,0.000687022
39,2358.56,1.3914,1.66148,1.2667,0.74275,0.47438,0.54329,0.34846,1.28427,1.50011,1.14964,0.000681023,0.000681023,0.000681023
40,2420.01,1.40178,1.69947,1.28252,0.77832,0.55736,0.59352,0.37122,1.40229,1.51019,1.20445,0.000675023,0.000675023,0.000675023
41,2480.09,1.40643,1.66138,1.29835,0.70068,0.62505,0.59193,0.37869,1.38807,1.4911,1.19312,0.000669024,0.000669024,0.000669024
42,2542.08,1.33772,1.60085,1.26349,0.65017,0.59437,0.5855,0.385,1.29983,1.5044,1.16877,0.000663025,0.000663025,0.000663025
43,2620.64,1.42258,1.65455,1.29159,0.68491,0.54071,0.5749,0.39057,1.2618,1.47634,1.14322,0.000657025,0.000657025,0.000657025
44,2704.14,1.37977,1.67487,1.26877,0.67948,0.49676,0.54965,0.3587,1.30664,1.51393,1.15269,0.000651026,0.000651026,0.000651026
45,2833.83,1.41469,1.64556,1.30391,0.71498,0.50551,0.56315,0.34664,1.35547,1.55173,1.14476,0.000645026,0.000645026,0.000645026
46,2900.59,1.36126,1.67496,1.31373,0.69243,0.54372,0.58121,0.35107,1.42187,1.55998,1.15454,0.000639027,0.000639027,0.000639027
47,2962.56,1.39526,1.63195,1.28008,0.69225,0.5254,0.59639,0.37328,1.39242,1.51485,1.13864,0.000633028,0.000633028,0.000633028
48,3022.86,1.32724,1.52317,1.24502,0.7428,0.60245,0.59244,0.38585,1.33217,1.46921,1.1172,0.000627028,0.000627028,0.000627028
